Replay 7|false|11160
-886.1613159179688,168.99998474121094,861.1030883789062|0.9998798370361328,0,-0.015502959489822388|-7.482426137017661e-12,1,-4.825870258962084e-10|Running
-885.6614990234375,168.99998474121094,861.0881958007812|0.9998798370361328,0,-0.015502959489822388|-5.3377432682188974e-12,1,-3.442634233241648e-10|Running
-884.8616943359375,168.99998474121094,861.06884765625|0.9998798370361328,0,-0.015502959489822388|-8.528537251417667e-12,1,-5.500570554595186e-10|Running
-884.4617919921875,168.99998474121094,861.059326171875|0.9998798370361328,0,-0.015502959489822388|-4.258803379397769e-12,1,-2.746760596750164e-10|Running
-883.8619384765625,168.99998474121094,861.0450439453125|0.9998798370361328,0,-0.015502959489822388|-6.381384136389112e-12,1,-4.1157413588344127e-10|Running
-883.362060546875,168.99998474121094,861.0331420898438|0.9998798370361328,0,-0.015502959489822388|-5.311573229860311e-12,1,-3.425755512598272e-10|Running
-882.8621826171875,168.99998474121094,861.021240234375|0.9998798370361328,0,-0.015502959489822388|-5.305900684093867e-12,1,-3.422097050176376e-10|Running
-882.2623291015625,168.99998474121094,861.0096435546875|0.9998798370361328,0,-0.015502959489822388|-6.359603382105616e-12,1,-4.1016937069038306e-10|Running
-881.762451171875,168.99998474121094,861.0001831054688|0.9998798370361328,0,-0.015502959489822388|-5.293445803217223e-12,1,-3.4140640314817006e-10|Running
-881.2625732421875,168.99998474121094,860.993408203125|0.9998798370361328,0,-0.015502959489822388|-5.287793640451621e-12,1,-3.410418614180344e-10|Running
-880.7626953125,168.99998474121094,860.9864501953125|0.9998798370361328,0,-0.015502959489822388|-5.282149283941662e-12,1,-3.406778192882598e-10|Running
-880.36279296875,168.99998474121094,860.9823608398438|0.9998798370361328,0,-0.015502959489822388|-4.221659480330153e-12,1,-2.7228042043248024e-10|Running
-879.8629150390625,168.99998474121094,860.9796142578125|0.9998798370361328,0,-0.015502959489822388|-5.272005922096756e-12,1,-3.400236203709994e-10|Running
-879.4630126953125,168.99998474121094,860.9776611328125|0.9998798370361328,0,-0.015502959489822388|-4.213550949122569e-12,1,-2.7175742212115495e-10|Running
